MPC control debug log
steps=24000 Ts=0.00005000 total_time=1.200000
PU base: I=8.00 V=32.00 omega=200.00
FRF: enable=1 settle=2000 f_start=2.000Hz f_end=120.000Hz amp=0.800A
k=0000 mode=0 ctrl_mode=1 fw=0 Rs=0.4481 Vdc=48.00 | i=(0.000,0.043) wm=0.00 | th_ref=0.00 th=0.00 epos_live=0.00 epos_pi=0.00 espd=0.00 | w_ref=0.00 id_ref=0.00 iq_ref=0.00 id_fw=0.00 Tl=0.001 | enc=0 | mpcJ=0.0003
k=0050 mode=0 ctrl_mode=1 fw=0 Rs=0.4475 Vdc=49.96 | i=(-0.169,0.032) wm=0.00 | th_ref=0.00 th=0.00 epos_live=0.00 epos_pi=0.00 espd=0.00 | w_ref=0.00 id_ref=0.00 iq_ref=0.00 id_fw=0.00 Tl=-0.007 | enc=0 | mpcJ=0.0049
k=0100 mode=0 ctrl_mode=1 fw=0 Rs=0.4450 Vdc=47.06 | i=(-0.274,-0.143) wm=0.00 | th_ref=0.00 th=-0.00 epos_live=0.00 epos_pi=0.00 espd=3.33 | w_ref=0.00 id_ref=0.00 iq_ref=0.08 id_fw=0.00 Tl=-1.338 | enc=-2 | mpcJ=0.0106
k=0150 mode=0 ctrl_mode=1 fw=0 Rs=0.4482 Vdc=46.89 | i=(-0.044,-0.073) wm=0.00 | th_ref=0.00 th=-0.01 epos_live=0.01 epos_pi=0.00 espd=1.27 | w_ref=0.00 id_ref=0.00 iq_ref=0.08 id_fw=0.00 Tl=-1.043 | enc=-4 | mpcJ=0.0045
k=0200 mode=0 ctrl_mode=1 fw=0 Rs=0.4570 Vdc=49.51 | i=(0.015,0.064) wm=0.00 | th_ref=0.00 th=-0.01 epos_live=0.01 epos_pi=0.00 espd=0.95 | w_ref=0.00 id_ref=0.00 iq_ref=0.15 id_fw=0.00 Tl=-1.088 | enc=-7 | mpcJ=0.0016
k=0250 mode=0 ctrl_mode=1 fw=0 Rs=0.4634 Vdc=47.71 | i=(0.049,0.312) wm=0.00 | th_ref=0.00 th=-0.02 epos_live=0.02 epos_pi=0.00 espd=3.77 | w_ref=0.00 id_ref=0.00 iq_ref=0.24 id_fw=0.00 Tl=-2.207 | enc=-12 | mpcJ=0.0007
k=0300 mode=0 ctrl_mode=1 fw=0 Rs=0.4646 Vdc=46.01 | i=(0.116,0.314) wm=0.00 | th_ref=0.00 th=-0.03 epos_live=0.03 epos_pi=0.00 espd=3.95 | w_ref=0.00 id_ref=0.00 iq_ref=0.27 id_fw=0.00 Tl=-2.405 | enc=-17 | mpcJ=0.0006
k=0350 mode=0 ctrl_mode=1 fw=0 Rs=0.4652 Vdc=48.88 | i=(-0.075,0.313) wm=0.00 | th_ref=0.00 th=-0.03 epos_live=0.03 epos_pi=0.00 espd=2.02 | w_ref=0.00 id_ref=0.00 iq_ref=0.16 id_fw=0.00 Tl=-1.972 | enc=-22 | mpcJ=0.0047
k=0400 mode=0 ctrl_mode=1 fw=0 Rs=0.4684 Vdc=49.04 | i=(0.167,0.439) wm=0.00 | th_ref=0.00 th=-0.04 epos_live=0.04 epos_pi=0.00 espd=4.53 | w_ref=0.00 id_ref=0.00 iq_ref=0.35 id_fw=0.00 Tl=-2.943 | enc=-29 | mpcJ=0.0004
k=0450 mode=0 ctrl_mode=1 fw=0 Rs=0.4707 Vdc=46.44 | i=(0.196,0.251) wm=0.00 | th_ref=0.00 th=-0.06 epos_live=0.06 epos_pi=0.00 espd=5.46 | w_ref=0.00 id_ref=0.00 iq_ref=0.31 id_fw=0.00 Tl=-3.349 | enc=-36 | mpcJ=0.0037
k=0500 mode=0 ctrl_mode=1 fw=0 Rs=0.4703 Vdc=48.27 | i=(0.208,0.439) wm=0.00 | th_ref=0.00 th=-0.07 epos_live=0.07 epos_pi=0.00 espd=3.83 | w_ref=0.00 id_ref=0.00 iq_ref=0.36 id_fw=0.00 Tl=-2.997 | enc=-43 | mpcJ=0.0006
