k,time_s,safety_mode,ctrl_mode,fw,vdc,rs,wm,omega_ref,id_ref,iq_ref,id_fw,theta_ref,theta_mech,epos_live,epos_pi,espd,i_alpha,i_beta,tl_hat,mpcJ,enc,iq_inj,frf_freq_hz
0,0.00000000,0,1,0,48.000000,0.448081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042779,0.000770,0.000338,0,0.000000,0.000000
1,0.00005000,0,1,0,48.367821,0.448028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010485,0.041205,0.001473,0.000334,0,0.000000,0.000000
2,0.00010000,0,1,0,48.435509,0.448005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020131,0.036699,0.002060,0.000324,0,0.000000,0.000000
3,0.00015000,0,1,0,48.502956,0.448001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028167,0.029595,0.002490,0.000308,0,0.000000,0.000000
4,0.00020000,0,1,0,48.570080,0.448001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033949,0.020420,0.002733,0.000290,0,0.000000,0.000000
5,0.00025000,0,1,0,48.636780,0.447987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037015,0.009856,0.002773,0.000271,0,0.000000,0.000000
6,0.00030000,0,1,0,48.702957,0.447939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037118,-0.001307,0.002611,0.000255,0,0.000000,0.000000
7,0.00035000,0,1,0,48.768520,0.447844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034247,-0.012232,0.002261,0.000244,0,0.000000,0.000000
8,0.00040000,0,1,0,48.833378,0.447706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028627,-0.022095,0.001750,0.000242,0,0.000000,0.000000
9,0.00045000,0,1,0,48.897434,0.447540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020702,-0.030141,0.001120,0.000247,0,0.000000,0.000000
10,0.00050000,0,1,0,48.960602,0.447371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011100,-0.035745,0.000421,0.000259,0,0.000000,0.000000
11,0.00055000,0,1,0,49.022781,0.447223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000582,-0.038453,-0.000293,0.000273,0,0.000000,0.000000
12,0.00060000,0,1,0,49.083893,0.447112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010019,-0.038015,-0.000962,0.000286,0,0.000000,0.000000
